IS, 2006, pancreas, -, num, living
IS, 2006, heart, -, num, living
IS, 2006, lung, -, num, living
IS, 2006, heart/lung, -, num, living
IS, 2006, kidney, 26, pmp, living
IS, 2006, liver, 0, pmp, living
IS, 2006, pancreas, -, pmp, living
IS, 2006, heart, -, pmp, living
IS, 2006, lung, -, pmp, living
IS, 2006, heart/lung, -, pmp, living
IS, 2007, kidney, 0, num, deceased
IS, 2007, liver, 0, num, deceased
IS, 2007, pancreas, 0, num, deceased
IS, 2007, heart, 0, num, deceased
IS, 2007, lung, 0, num, deceased
IS, 2007, heart/lung, -, num, deceased
IS, 2007, kidney, 0, pmp, deceased
IS, 2007, liver, 0, pmp, deceased
IS, 2007, pancreas, 0, pmp, deceased
IS, 2007, heart, 0, pmp, deceased
IS, 2007, lung, 0, pmp, deceased
IS, 2007, heart/lung, -, pmp, deceased
IS, 2007, kidney, 7, num, living
IS, 2007, liver, 0, num, living
IS, 2007, pancreas, -, num, living
IS, 2007, heart, -, num, living
IS, 2007, lung, -, num, living
IS, 2007, heart/lung, -, num, living
IS, 2007, kidney, 22.40, pmp, living
IS, 2007, liver, 0, pmp, living
IS, 2007, pancreas, -, pmp, living
IS, 2007, heart, -, pmp, living
IS, 2007, lung, -, pmp, living
IS, 2007, heart/lung, -, pmp, living
IS, 2008, kidney, 0, num, deceased
IS, 2008, liver, 0, num, deceased
IS, 2008, pancreas, 0, num, deceased
IS, 2008, heart, 0, num, deceased
IS, 2008, lung, 0, num, deceased
IS, 2008, heart/lung, -, num, deceased
IS, 2008, kidney, 0, pmp, deceased
IS, 2008, liver, 0, pmp, deceased
IS, 2008, pancreas, 0, pmp, deceased
IS, 2008, heart, 0, pmp, deceased
IS, 2008, lung, 0, pmp, deceased
IS, 2008, heart/lung, -, pmp, deceased
IS, 2008, kidney, 5, num, living
IS, 2008, liver, 0, num, living
IS, 2008, pancreas, -, num, living
IS, 2008, heart, -, num, living
IS, 2008, lung, -, num, living
IS, 2008, heart/lung, -, num, living
IS, 2008, kidney, 15.60, pmp, living
IS, 2008, liver, 0, pmp, living
IS, 2008, pancreas, -, pmp, living
IS, 2008, heart, -, pmp, living
IS, 2008, lung, -, pmp, living
IS, 2008, heart/lung, -, pmp, living
IS, 2009, kidney, 0, num, deceased
IS, 2009, liver, 0, num, deceased
IS, 2009, pancreas, 0, num, deceased
IS, 2009, heart, 0, num, deceased
IS, 2009, lung, 0, num, deceased
IS, 2009, heart/lung, -, num, deceased
IS, 2009, kidney, 0, pmp, deceased
IS, 2009, liver, 0, pmp, deceased
IS, 2009, pancreas, 0, pmp, deceased
IS, 2009, heart, 0, pmp, deceased
IS, 2009, lung, 0, pmp, deceased
IS, 2009, heart/lung, -, pmp, deceased
IS, 2009, kidney, 7, num, living
IS, 2009, liver, 0, num, living
IS, 2009, pancreas, -, num, living
IS, 2009, heart, -, num, living
IS, 2009, lung, -, num, living
IS, 2009, heart/lung, -, num, living
IS, 2009, kidney, 21.90, pmp, living
IS, 2009, liver, 0, pmp, living
IS, 2009, pancreas, -, pmp, living
IS, 2009, heart, -, pmp, living
IS, 2009, lung, -, pmp, living
IS, 2009, heart/lung, -, pmp, living
IS, 2010, kidney, 0, num, deceased
IS, 2010, liver, 0, num, deceased
IS, 2010, pancreas, 0, num, deceased
IS, 2010, heart, 0, num, deceased
IS, 2010, lung, 0, num, deceased
IS, 2010, heart/lung, -, num, deceased
IS, 2010, kidney, 0, pmp, deceased
IS, 2010, liver, 0, pmp, deceased
IS, 2010, pancreas, 0, pmp, deceased
IS, 2010, heart, 0, pmp, deceased
IS, 2010, lung, 0, pmp, deceased
IS, 2010, heart/lung, -, pmp, deceased
IS, 2010, kidney, 5, num, living
IS, 2010, liver, 0, num, living
IS, 2010, pancreas, -, num, living
IS, 2010, heart, -, num, living
IS, 2010, lung, -, num, living
IS, 2010, heart/lung, -, num, living
IS, 2010, kidney, 15.74, pmp, living
IS, 2010, liver, 0, pmp, living
IS, 2010, pancreas, -, pmp, living
IS, 2010, heart, -, pmp, living
IS, 2010, lung, -, pmp, living
IS, 2010, heart/lung, -, pmp, living
IS, 2011, kidney, 0, num, deceased
IS, 2011, liver, 0, num, deceased
IS, 2011, pancreas, 0, num, deceased
IS, 2011, heart, 0, num, deceased
IS, 2011, lung, 0, num, deceased
IS, 2011, heart/lung, -, num, deceased
IS, 2011, kidney, 0, pmp, deceased
IS, 2011, liver, 0, pmp, deceased
IS, 2011, pancreas, 0, pmp, deceased
IS, 2011, heart, 0, pmp, deceased
IS, 2011, lung, 0, pmp, deceased
IS, 2011, heart/lung, -, pmp, deceased
IS, 2011, kidney, 11, num, living
