GE, 2004, pancreas, -, pmp, living
GE, 2004, heart, -, pmp, living
GE, 2004, lung, -, pmp, living
GE, 2004, heart/lung, -, pmp, living
GE, 2005, kidney, 0, num, deceased
GE, 2005, liver, 0, num, deceased
GE, 2005, pancreas, 0, num, deceased
GE, 2005, heart, 0, num, deceased
GE, 2005, lung, 0, num, deceased
GE, 2005, heart/lung, -, num, deceased
GE, 2005, kidney, 0, pmp, deceased
GE, 2005, liver, 0, pmp, deceased
GE, 2005, pancreas, 0, pmp, deceased
GE, 2005, heart, 0, pmp, deceased
GE, 2005, lung, 0, pmp, deceased
GE, 2005, heart/lung, -, pmp, deceased
GE, 2005, kidney, 14, num, living
GE, 2005, liver, 0, num, living
GE, 2005, pancreas, -, num, living
GE, 2005, heart, -, num, living
GE, 2005, lung, -, num, living
GE, 2005, heart/lung, -, num, living
GE, 2005, kidney, 2.80, pmp, living
GE, 2005, liver, 0, pmp, living
GE, 2005, pancreas, -, pmp, living
GE, 2005, heart, -, pmp, living
GE, 2005, lung, -, pmp, living
GE, 2005, heart/lung, -, pmp, living
GE, 2006, kidney, 0, num, deceased
GE, 2006, liver, 0, num, deceased
GE, 2006, pancreas, 0, num, deceased
GE, 2006, heart, 0, num, deceased
GE, 2006, lung, 0, num, deceased
GE, 2006, heart/lung, -, num, deceased
GE, 2006, kidney, 0, pmp, deceased
GE, 2006, liver, 0, pmp, deceased
GE, 2006, pancreas, 0, pmp, deceased
GE, 2006, heart, 0, pmp, deceased
GE, 2006, lung, 0, pmp, deceased
GE, 2006, heart/lung, -, pmp, deceased
GE, 2006, kidney, 9, num, living
GE, 2006, liver, 0, num, living
GE, 2006, pancreas, -, num, living
GE, 2006, heart, -, num, living
GE, 2006, lung, -, num, living
GE, 2006, heart/lung, -, num, living
GE, 2006, kidney, 1.8, pmp, living
GE, 2006, liver, 0, pmp, living
GE, 2006, pancreas, -, pmp, living
GE, 2006, heart, -, pmp, living
GE, 2006, lung, -, pmp, living
GE, 2006, heart/lung, -, pmp, living
GE, 2007, kidney, 0, num, deceased
GE, 2007, liver, 0, num, deceased
GE, 2007, pancreas, 0, num, deceased
GE, 2007, heart, 0, num, deceased
GE, 2007, lung, 0, num, deceased
GE, 2007, heart/lung, -, num, deceased
GE, 2007, kidney, 0, pmp, deceased
GE, 2007, liver, 0, pmp, deceased
GE, 2007, pancreas, 0, pmp, deceased
GE, 2007, heart, 0, pmp, deceased
GE, 2007, lung, 0, pmp, deceased
GE, 2007, heart/lung, -, pmp, deceased
GE, 2007, kidney, 9, num, living
GE, 2007, liver, 0, num, living
GE, 2007, pancreas, -, num, living
GE, 2007, heart, -, num, living
GE, 2007, lung, -, num, living
GE, 2007, heart/lung, -, num, living
GE, 2007, kidney, 1.8, pmp, living
GE, 2007, liver, 0, pmp, living
GE, 2007, pancreas, -, pmp, living
GE, 2007, heart, -, pmp, living
GE, 2007, lung, -, pmp, living
GE, 2007, heart/lung, -, pmp, living
GE, 2008, kidney, 0, num, deceased
GE, 2008, liver, 0, num, deceased
GE, 2008, pancreas, 0, num, deceased
GE, 2008, heart, 0, num, deceased
GE, 2008, lung, 0, num, deceased
GE, 2008, heart/lung, -, num, deceased
GE, 2008, kidney, 0, pmp, deceased
GE, 2008, liver, 0, pmp, deceased
GE, 2008, pancreas, 0, pmp, deceased
GE, 2008, heart, 0, pmp, deceased
GE, 2008, lung, 0, pmp, deceased
GE, 2008, heart/lung, -, pmp, deceased
GE, 2008, kidney, 7, num, living
GE, 2008, liver, 0, num, living
GE, 2008, pancreas, -, num, living
GE, 2008, heart, -, num, living
GE, 2008, lung, -, num, living
GE, 2008, heart/lung, -, num, living
GE, 2008, kidney, 1.5, pmp, living
GE, 2008, liver, 0, pmp, living
GE, 2008, pancreas, -, pmp, living
GE, 2008, heart, -, pmp, living
GE, 2008, lung, -, pmp, living
GE, 2008, heart/lung, -, pmp, living
GE, 2017, kidney, 0, num, deceased
GE, 2017, liver, 0, num, deceased
GE, 2017, pancreas, 0, num, deceased
GE, 2017, heart, 0, num, deceased
GE, 2017, lung, 0, num, deceased
GE, 2017, heart/lung, -, num, deceased
GE, 2017, kidney, 0, pmp, deceased
GE, 2017, liver, 0, pmp, deceased
GE, 2017, pancreas, 0, pmp, deceased
GE, 2017, heart, 0, pmp, deceased
GE, 2017, lung, 0, pmp, deceased
GE, 2017, heart/lung, -, pmp, deceased
GE, 2017, kidney, 21, num, living
GE, 2017, liver, 10, num, living
GE, 2017, pancreas, -, num, living
GE, 2017, heart, -, num, living
GE, 2017, lung, -, num, living
GE, 2017, heart/lung, -, num, living
GE, 2017, kidney, 5.70, pmp, living
GE, 2017, liver, 2.70, pmp, living
GE, 2017, pancreas, -, pmp, living
GE, 2017, heart, -, pmp, living
GE, 2017, lung, -, pmp, living
GE, 2017, heart/lung, -, pmp, living
GE, 2017, kidney, 0, num, deceased
GE, 2017, liver, 0, num, deceased
GE, 2017, pancreas, 0, num, deceased
GE, 2017, heart, 0, num, deceased
GE, 2017, lung, 0, num, deceased
GE, 2017, heart/lung, -, num, deceased
GE, 2017, kidney, 0, pmp, deceased
GE, 2017, liver, 0, pmp, deceased
GE, 2017, pancreas, 0, pmp, deceased
GE, 2017, heart, 0, pmp, deceased
GE, 2017, lung, 0, pmp, deceased
GE, 2017, heart/lung, -, pmp, deceased
GE, 2017, kidney, 21, num, living
GE, 2017, liver, 10, num, living
GE, 2017, pancreas, -, num, living
GE, 2017, heart, -, num, living
GE, 2017, lung, -, num, living
GE, 2017, heart/lung, -, num, living
GE, 2017, kidney, 5.70, pmp, living
GE, 2017, liver, 2.70, pmp, living
GE, 2017, pancreas, -, pmp, living
GE, 2017, heart, -, pmp, living
GE, 2017, lung, -, pmp, living
GE, 2017, heart/lung, -, pmp, living
GE, 2011, kidney, 0, num, deceased
GE, 2011, liver, 0, num, deceased
GE, 2011, pancreas, 0, num, deceased
GE, 2011, heart, 0, num, deceased
GE, 2011, lung, 0, num, deceased
GE, 2011, heart/lung, -, num, deceased
GE, 2011, kidney, 0, pmp, deceased
GE, 2011, liver, 0, pmp, deceased
GE, 2011, pancreas, 0, pmp, deceased
GE, 2011, heart, 0, pmp, deceased
GE, 2011, lung, 0, pmp, deceased
GE, 2011, heart/lung, -, pmp, deceased
GE, 2011, kidney, 17, num, living
GE, 2011, liver, 0, num, living
GE, 2011, pancreas, -, num, living
GE, 2011, heart, -, num, living
GE, 2011, lung, -, num, living
GE, 2011, heart/lung, -, num, living
GE, 2011, kidney, 3.80, pmp, living
GE, 2011, liver, 0, pmp, living
GE, 2011, pancreas, -, pmp, living
GE, 2011, heart, -, pmp, living
GE, 2011, lung, -, pmp, living
GE, 2011, heart/lung, -, pmp, living
GE, 2012, kidney, 0, num, deceased
GE, 2012, liver, 0, num, deceased
GE, 2012, pancreas, 0, num, deceased
GE, 2012, heart, 0, num, deceased
GE, 2012, lung, 0, num, deceased
GE, 2012, heart/lung, -, num, deceased
GE, 2012, kidney, 0, pmp, deceased
GE, 2012, liver, 0, pmp, deceased
GE, 2012, pancreas, 0, pmp, deceased
GE, 2012, heart, 0, pmp, deceased
GE, 2012, lung, 0, pmp, deceased
GE, 2012, heart/lung, -, pmp, deceased
GE, 2012, kidney, 15, num, living
GE, 2012, liver, 0, num, living
GE, 2012, pancreas, -, num, living
