US, 2005, living, 23.30, pmp, living
US, 2006, actual, 7379, num, deceased
US, 2006, actual, 25, pmp, deceased
US, 2006, utilized, -, num, deceased
US, 2006, utilized, -, pmp, deceased
US, 2006, living, 6732, num, living
US, 2006, living, 22.80, pmp, living
US, 2007, actual, 8091, num, deceased
US, 2007, actual, 26.60, pmp, deceased
US, 2007, utilized, -, num, deceased
US, 2007, utilized, -, pmp, deceased
US, 2007, living, 6308, num, living
US, 2007, living, 20.80, pmp, living
US, 2008, actual, 7990, num, deceased
US, 2008, actual, 26.20, pmp, deceased
US, 2008, utilized, -, num, deceased
US, 2008, utilized, -, pmp, deceased
US, 2008, living, 6217, num, living
US, 2008, living, 20.40, pmp, living
US, 2009, actual, 8021, num, deceased
US, 2009, actual, 26.10, pmp, deceased
US, 2009, utilized, -, num, deceased
US, 2009, utilized, -, pmp, deceased
US, 2009, living, 6610, num, living
US, 2009, living, 21.5, pmp, living
US, 2010, actual, 7943, num, deceased
US, 2010, actual, 25.60, pmp, deceased
US, 2010, utilized, -, num, deceased
US, 2010, utilized, -, pmp, deceased
US, 2010, living, 6564, num, living
US, 2010, living, 21.20, pmp, living
US, 2011, actual, 8127, num, deceased
US, 2011, actual, 26, pmp, deceased
US, 2011, utilized, -, num, deceased
US, 2011, utilized, -, pmp, deceased
US, 2011, living, 6022, num, living
US, 2011, living, 19.20, pmp, living
US, 2012, actual, 8143, num, deceased
US, 2012, actual, 25.60, pmp, deceased
US, 2012, utilized, -, num, deceased
US, 2012, utilized, -, pmp, deceased
US, 2012, living, 4887, num, living
US, 2012, living, 15.40, pmp, living
US, 2013, actual, 8267, num, deceased
US, 2013, actual, 25.99, pmp, deceased
US, 2013, utilized, -, num, deceased
US, 2013, utilized, -, pmp, deceased
US, 2013, living, 5990, num, living
US, 2013, living, 18.83, pmp, living
US, 2014, actual, 8594, num, deceased
US, 2014, actual, 27.02, pmp, deceased
US, 2014, utilized, -, num, deceased
US, 2014, utilized, -, pmp, deceased
US, 2014, living, 5818, num, living
US, 2014, living, 18.29, pmp, living
US, 2015, actual, 9079, num, deceased
US, 2015, actual, 28.5, pmp, deceased
US, 2015, utilized, 9079, num, deceased
US, 2015, utilized, 28.5, pmp, deceased
US, 2015, living, 5988, num, living
US, 2015, living, 18.80, pmp, living
US, 2016, actual, 9971, num, deceased
US, 2016, actual, 30.98, pmp, deceased
US, 2016, utilized, -, num, deceased
US, 2016, utilized, -, pmp, deceased
US, 2016, living, 5978, num, living
US, 2016, living, 18.57, pmp, living
US, 2017, actual, 10284, num, deceased
US, 2017, actual, 31.96, pmp, deceased
US, 2017, utilized, 9706, num, deceased
US, 2017, utilized, 29.91, pmp, deceased
US, 2017, living, 6183, num, living
US, 2017, living, 19.21, pmp, living
US, 2018, actual, 10721, num, deceased
US, 2018, actual, 33.32, pmp, deceased
US, 2018, utilized, 10721, num, deceased
US, 2018, utilized, 33.32, pmp, deceased
US, 2018, living, 6833, num, living
US, 2018, living, 21.24, pmp, living
UY, 2017, actual, 67, num, deceased
UY, 2017, actual, 20.43, pmp, deceased
UY, 2017, utilized, 66, num, deceased
UY, 2017, utilized, 20.12, pmp, deceased
UY, 2017, living, 19, num, living
UY, 2017, living, 5.80, pmp, living
UY, 2017, actual, 67, num, deceased
UY, 2017, actual, 20.43, pmp, deceased
UY, 2017, utilized, 66, num, deceased
UY, 2017, utilized, 20.12, pmp, deceased
UY, 2017, living, 19, num, living
UY, 2017, living, 5.80, pmp, living
UY, 2017, actual, 67, num, deceased
UY, 2017, actual, 20.43, pmp, deceased
UY, 2017, utilized, 66, num, deceased
UY, 2017, utilized, 20.12, pmp, deceased
UY, 2017, living, 19, num, living
UY, 2017, living, 5.80, pmp, living
UY, 2017, actual, 67, num, deceased
UY, 2017, actual, 20.43, pmp, deceased
UY, 2017, utilized, 66, num, deceased
UY, 2017, utilized, 20.12, pmp, deceased
UY, 2017, living, 19, num, living
UY, 2017, living, 5.80, pmp, living
UY, 1997, actual, 0, num, deceased
UY, 1997, actual, 0, pmp, deceased
UY, 1997, utilized, -, num, deceased
UY, 1997, utilized, -, pmp, deceased
UY, 1997, living, 0, num, living
UY, 1997, living, 0, pmp, living
UY, 1998, actual, 23, num, deceased
UY, 1998, actual, 6.90, pmp, deceased
UY, 1998, utilized, -, num, deceased
UY, 1998, utilized, -, pmp, deceased
UY, 1998, living, 13, num, living
UY, 1998, living, 3.9, pmp, living
UY, 1999, actual, 21, num, deceased
UY, 1999, actual, 6.60, pmp, deceased
UY, 1999, utilized, -, num, deceased
UY, 1999, utilized, -, pmp, deceased
UY, 1999, living, 3, num, living
UY, 1999, living, 0.3, pmp, living
UY, 2000, actual, 32, num, deceased
UY, 2000, actual, 10.40, pmp, deceased
UY, 2000, utilized, -, num, deceased
UY, 2000, utilized, -, pmp, deceased
UY, 2000, living, 11, num, living
UY, 2000, living, 3.5, pmp, living
UY, 2001, actual, 37, num, deceased
UY, 2001, actual, 11.5, pmp, deceased
UY, 2001, utilized, -, num, deceased
UY, 2001, utilized, -, pmp, deceased
UY, 2001, living, 6, num, living
UY, 2001, living, 1.8, pmp, living
UY, 2002, actual, 46, num, deceased
UY, 2002, actual, 14.70, pmp, deceased
UY, 2002, utilized, -, num, deceased
UY, 2002, utilized, -, pmp, deceased
UY, 2002, living, 2, num, living
UY, 2002, living, 0.6, pmp, living
UY, 2003, actual, 50, num, deceased
