PA, 2004, utilized, -, num, deceased
PA, 2004, utilized, -, pmp, deceased
PA, 2004, living, 4, num, living
PA, 2004, living, 1.30, pmp, living
PA, 2005, actual, 10, num, deceased
PA, 2005, actual, 3.30, pmp, deceased
PA, 2005, utilized, -, num, deceased
PA, 2005, utilized, -, pmp, deceased
PA, 2005, living, 5, num, living
PA, 2005, living, 1.60, pmp, living
PA, 2017, actual, 17, num, deceased
PA, 2017, actual, 4.15, pmp, deceased
PA, 2017, utilized, 16, num, deceased
PA, 2017, utilized, 3.9, pmp, deceased
PA, 2017, living, 15, num, living
PA, 2017, living, 3.66, pmp, living
PA, 2017, actual, 17, num, deceased
PA, 2017, actual, 4.15, pmp, deceased
PA, 2017, utilized, 16, num, deceased
PA, 2017, utilized, 3.9, pmp, deceased
PA, 2017, living, 15, num, living
PA, 2017, living, 3.66, pmp, living
PA, 2017, actual, 17, num, deceased
PA, 2017, actual, 4.15, pmp, deceased
PA, 2017, utilized, 16, num, deceased
PA, 2017, utilized, 3.9, pmp, deceased
PA, 2017, living, 15, num, living
PA, 2017, living, 3.66, pmp, living
PA, 2017, actual, 17, num, deceased
PA, 2017, actual, 4.15, pmp, deceased
PA, 2017, utilized, 16, num, deceased
PA, 2017, utilized, 3.9, pmp, deceased
PA, 2017, living, 15, num, living
PA, 2017, living, 3.66, pmp, living
PA, 2010, actual, 13, num, deceased
PA, 2010, actual, 3.71, pmp, deceased
PA, 2010, utilized, -, num, deceased
PA, 2010, utilized, -, pmp, deceased
PA, 2010, living, 15, num, living
PA, 2010, living, 4.29, pmp, living
PA, 2011, actual, 26, num, deceased
PA, 2011, actual, 7.43, pmp, deceased
PA, 2011, utilized, -, num, deceased
PA, 2011, utilized, -, pmp, deceased
PA, 2011, living, 18, num, living
PA, 2011, living, 5.14, pmp, living
PA, 2012, actual, 24, num, deceased
PA, 2012, actual, 6.86, pmp, deceased
PA, 2012, utilized, -, num, deceased
PA, 2012, utilized, -, pmp, deceased
PA, 2012, living, 16, num, living
PA, 2012, living, 4.57, pmp, living
PA, 2013, actual, 22, num, deceased
PA, 2013, actual, 6.29, pmp, deceased
PA, 2013, utilized, 22, num, deceased
PA, 2013, utilized, 6.29, pmp, deceased
PA, 2013, living, 16, num, living
PA, 2013, living, 4.57, pmp, living
PA, 2017, actual, 17, num, deceased
PA, 2017, actual, 4.15, pmp, deceased
PA, 2017, utilized, 16, num, deceased
PA, 2017, utilized, 3.9, pmp, deceased
PA, 2017, living, 15, num, living
PA, 2017, living, 3.66, pmp, living
PA, 2015, actual, 25, num, deceased
PA, 2015, actual, 6.40, pmp, deceased
PA, 2015, utilized, -, num, deceased
PA, 2015, utilized, -, pmp, deceased
PA, 2015, living, 0, num, living
PA, 2015, living, 0, pmp, living
PA, 2016, actual, 29, num, deceased
PA, 2016, actual, 7.25, pmp, deceased
PA, 2016, utilized, -, num, deceased
PA, 2016, utilized, -, pmp, deceased
PA, 2016, living, 6, num, living
PA, 2016, living, 1.5, pmp, living
PA, 2017, actual, 17, num, deceased
PA, 2017, actual, 4.15, pmp, deceased
PA, 2017, utilized, 16, num, deceased
PA, 2017, utilized, 3.9, pmp, deceased
PA, 2017, living, 15, num, living
PA, 2017, living, 3.66, pmp, living
PA, 2017, actual, 17, num, deceased
PA, 2017, actual, 4.15, pmp, deceased
PA, 2017, utilized, 16, num, deceased
PA, 2017, utilized, 3.9, pmp, deceased
PA, 2017, living, 15, num, living
PA, 2017, living, 3.66, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 1998, actual, 0, num, deceased
PY, 1998, actual, 0, pmp, deceased
PY, 1998, utilized, -, num, deceased
PY, 1998, utilized, -, pmp, deceased
PY, 1998, living, 0, num, living
PY, 1998, living, 0, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2010, actual, 12, num, deceased
PY, 2010, actual, 1.9, pmp, deceased
PY, 2010, utilized, -, num, deceased
PY, 2010, utilized, -, pmp, deceased
PY, 2010, living, 18, num, living
PY, 2010, living, 2.5, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2012, actual, 18, num, deceased
PY, 2012, actual, 2.9, pmp, deceased
PY, 2012, utilized, -, num, deceased
PY, 2012, utilized, -, pmp, deceased
PY, 2012, living, 0, num, living
PY, 2012, living, 0, pmp, living
PY, 2013, actual, 26, num, deceased
PY, 2013, actual, 3.88, pmp, deceased
PY, 2013, utilized, 25, num, deceased
PY, 2013, utilized, 3.73, pmp, deceased
PY, 2013, living, 4, num, living
PY, 2013, living, 1.67, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2015, actual, 0, num, deceased
PY, 2015, actual, 0, pmp, deceased
PY, 2015, utilized, -, num, deceased
PY, 2015, utilized, -, pmp, deceased
PY, 2015, living, 33, num, living
PY, 2015, living, 0, pmp, living
PY, 2016, actual, 11, num, deceased
PY, 2016, actual, 1.64, pmp, deceased
PY, 2016, utilized, -, num, deceased
PY, 2016, utilized, -, pmp, deceased
PY, 2016, living, 25, num, living
PY, 2016, living, 3.73, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PY, 2017, actual, 11, num, deceased
PY, 2017, actual, 1.62, pmp, deceased
PY, 2017, utilized, 11, num, deceased
PY, 2017, utilized, 1.62, pmp, deceased
PY, 2017, living, 19, num, living
PY, 2017, living, 2.78, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
PE, 2017, living, 0, pmp, living
PE, 2017, actual, 52, num, deceased
PE, 2017, actual, 1.61, pmp, deceased
PE, 2017, utilized, 50, num, deceased
PE, 2017, utilized, 1.55, pmp, deceased
PE, 2017, living, 0, num, living
