AU, 1995, utilized, -, pmp, deceased
AU, 1995, living, 94, num, living
AU, 1995, living, 5.20, pmp, living
AU, 1996, actual, 194, num, deceased
AU, 1996, actual, 10.60, pmp, deceased
AU, 1996, utilized, -, num, deceased
AU, 1996, utilized, -, pmp, deceased
AU, 1996, living, 115, num, living
AU, 1996, living, 6.30, pmp, living
AU, 1997, actual, 190, num, deceased
AU, 1997, actual, 10.20, pmp, deceased
AU, 1997, utilized, -, num, deceased
AU, 1997, utilized, -, pmp, deceased
AU, 1997, living, 147, num, living
AU, 1997, living, 7.90, pmp, living
AU, 1998, actual, 196, num, deceased
AU, 1998, actual, 10.40, pmp, deceased
AU, 1998, utilized, -, num, deceased
AU, 1998, utilized, -, pmp, deceased
AU, 1998, living, 161, num, living
AU, 1998, living, 8.60, pmp, living
AU, 1999, actual, 164, num, deceased
AU, 1999, actual, 8.60, pmp, deceased
AU, 1999, utilized, -, num, deceased
AU, 1999, utilized, -, pmp, deceased
AU, 1999, living, 169, num, living
AU, 1999, living, 8.90, pmp, living
AU, 2000, actual, 196, num, deceased
AU, 2000, actual, 10.20, pmp, deceased
AU, 2000, utilized, -, num, deceased
AU, 2000, utilized, -, pmp, deceased
AU, 2000, living, 181, num, living
AU, 2000, living, 9.40, pmp, living
AU, 2001, actual, 185, num, deceased
AU, 2001, actual, 9.5, pmp, deceased
AU, 2001, utilized, -, num, deceased
AU, 2001, utilized, -, pmp, deceased
AU, 2001, living, 213, num, living
AU, 2001, living, 10.90, pmp, living
AU, 2002, actual, 206, num, deceased
AU, 2002, actual, 10.40, pmp, deceased
AU, 2002, utilized, -, num, deceased
AU, 2002, utilized, -, pmp, deceased
AU, 2002, living, 230, num, living
AU, 2002, living, 11.70, pmp, living
AU, 2003, actual, 179, num, deceased
AU, 2003, actual, 9, pmp, deceased
AU, 2003, utilized, -, num, deceased
AU, 2003, utilized, -, pmp, deceased
AU, 2003, living, 218, num, living
AU, 2003, living, 11, pmp, living
AU, 2004, actual, 218, num, deceased
AU, 2004, actual, 10.80, pmp, deceased
AU, 2004, utilized, -, num, deceased
AU, 2004, utilized, -, pmp, deceased
AU, 2004, living, 244, num, living
AU, 2004, living, 12.10, pmp, living
AU, 2005, actual, 204, num, deceased
AU, 2005, actual, 10, pmp, deceased
AU, 2005, utilized, -, num, deceased
AU, 2005, utilized, -, pmp, deceased
AU, 2005, living, 246, num, living
AU, 2005, living, 12.10, pmp, living
AU, 2006, actual, 202, num, deceased
AU, 2006, actual, 9.80, pmp, deceased
AU, 2006, utilized, -, num, deceased
AU, 2006, utilized, -, pmp, deceased
AU, 2006, living, 275, num, living
AU, 2006, living, 13.30, pmp, living
AU, 2007, actual, 198, num, deceased
AU, 2007, actual, 9.40, pmp, deceased
AU, 2007, utilized, -, num, deceased
AU, 2007, utilized, -, pmp, deceased
AU, 2007, living, 275, num, living
AU, 2007, living, 13.10, pmp, living
AU, 2008, actual, 259, num, deceased
AU, 2008, actual, 12.10, pmp, deceased
AU, 2008, utilized, -, num, deceased
AU, 2008, utilized, -, pmp, deceased
AU, 2008, living, 357, num, living
AU, 2008, living, 16.70, pmp, living
AU, 2009, actual, 247, num, deceased
AU, 2009, actual, 11.40, pmp, deceased
AU, 2009, utilized, -, num, deceased
AU, 2009, utilized, -, pmp, deceased
AU, 2009, living, 329, num, living
AU, 2009, living, 15, pmp, living
AU, 2010, actual, 309, num, deceased
AU, 2010, actual, 14, pmp, deceased
AU, 2010, utilized, -, num, deceased
AU, 2010, utilized, -, pmp, deceased
AU, 2010, living, 300, num, living
AU, 2010, living, 13.40, pmp, living
AU, 2011, actual, 337, num, deceased
AU, 2011, actual, 15.10, pmp, deceased
AU, 2011, utilized, -, num, deceased
